STUDENTYEARMODULE,SID,NUMHUS,COURSETITLE,MODULENAME,CREDITS,LEVEL,SEMESTER,AGEONENTRY,SEX,ETHNICITY,ETHNICITYDETAILED,DISABLETYPE,CARELEAVER,IMDQUINTILE,ACCOMMODATIONTYPE,COMMUTELENGTH,OFSENTQUALGRPCODE,OFSENTQUALGRPLABEL,HESATARIFFGRPCODE,HESATARIFFGRPLABEL,TARIFFPOINTS,STATEMARKERLABEL,SCHOLARSHIPANY,GREATSTARTACCESS,BURSARY,CLASSIFICATION,MABSEQ,ASSTYPECODE,ASSTYPENAME,ASSPERC,HASMC,ACCEPTEDMC,MODULEGRADE
A:?CUJX8$%`:CF2S(R=RW#,0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Social Psychology,0.0,0.0,SEM1,1.574858701717423,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Sensory/medical/physical impairments,Not a care leaver,Quintile 5,Unknown,Not known,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,5,91 - 105 points,0.19197664795750755,Unknown,Scholarship student,Great Start / Access recipient,Other low income students,1st,-0.9841894013026808,SSY,Essay,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.1729739854758838
A:?CUJX8$%`:CF2S(R=RW#,0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Social Psychology,0.0,0.0,SEM1,1.574858701717423,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Sensory/medical/physical impairments,Not a care leaver,Quintile 5,Unknown,Not known,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,5,91 - 105 points,0.19197664795750755,Unknown,Scholarship student,Great Start / Access recipient,Other low income students,1st,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.755433720518557
"A:=5U1/ZG^Q\.^DM'1""N,)",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not known / not applicable,Quintile 4,Commuter,3-6 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,5,91 - 105 points,0.19197664795750755,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.7127846025890092
"A:=5U1/ZG^Q\.^DM'1""N,)",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not known / not applicable,Quintile 4,Commuter,3-6 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,5,91 - 105 points,0.19197664795750755,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-1.1479381185473123
"A?D:S2=YL8J62,/)S[U2J/",0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Any other Asian background,Not disabled,Not a care leaver,Quintile 2,Unknown,Not known,-0.4192863562200545,A-levels (CDD or higher),4,81 - 90 points,-0.26006502804034143,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,1.0108360706108457
"A?D:S2=YL8J62,/)S[U2J/",0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Any other Asian background,Not disabled,Not a care leaver,Quintile 2,Unknown,Not known,-0.4192863562200545,A-levels (CDD or higher),4,81 - 90 points,-0.26006502804034143,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,-1.8196033985965212
A?H_X8:=&9R]*V>MM3AF[%,0.1019396225747327,0.0,BSc Psychology and Counselling FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,0.8291893899805323,"BTECs (at least DDM), or one A-level and two BTECs",7,116+ points,1.799235940394304,State school leaver,Not a scholarship student,Other students,Other students,02:02,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,0.533324035575862
A?H_X8:=&9R]*V>MM3AF[%,0.1019396225747327,0.0,BSc Psychology and Counselling FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,0.8291893899805323,"BTECs (at least DDM), or one A-level and two BTECs",7,116+ points,1.799235940394304,State school leaver,Not a scholarship student,Other students,Other students,02:02,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,0.22057988955294908
A?W#/T7SK<%'/@?6RD&EP/,0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Biological Psychology,0.0,0.0,SEM2,-0.32407149626510107,Female,Other,Any other Mixed or Multiple ethnic background,Not disabled,Not a care leaver,Quintile 1,Commuter,6-10 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,6,106 - 115 points,0.3928840595121071,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,PRE,Presentation,-1.668563630131922,-0.20816990425703272,-0.20294373961704976,0.43047528956832665
A?W#/T7SK<%'/@?6RD&EP/,0.1019396225747327,0.0,BSc Cognitive and Clinical Neuroscience FT,Biological Psychology,0.0,0.0,SEM2,-0.32407149626510107,Female,Other,Any other Mixed or Multiple ethnic background,Not disabled,Not a care leaver,Quintile 1,Commuter,6-10 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,6,106 - 115 points,0.3928840595121071,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,2.146445887782005,-0.20816990425703272,-0.20294373961704976,-1.2381931405539246
"A'@!BWD]W=T??]46>BJ++,",0.1019396225747327,0.0,BSc Psychology and Counselling FT,Social Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 1,Commuter,1-3 miles,0.8291893899805323,"BTECs (at least DDM), or one A-level and two BTECs",7,116+ points,1.799235940394304,Unknown,Not a scholarship student,Other students,Other students,1st,-0.9841894013026808,SSY,Essay,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.27267430048318847
"A'@!BWD]W=T??]46>BJ++,",0.1019396225747327,0.0,BSc Psychology and Counselling FT,Social Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 1,Commuter,1-3 miles,0.8291893899805323,"BTECs (at least DDM), or one A-level and two BTECs",7,116+ points,1.799235940394304,Unknown,Not a scholarship student,Other students,Other students,1st,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.9699064676078469
"A'WP<534M.HZ9]98:NG[D,",0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 1,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other students,Other students,02:01,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,0.4220794735677117
"A'WP<534M.HZ9]98:NG[D,",0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 1,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other students,Other students,02:01,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,-0.5980121705070238
"A""(+-HR=]!54.TPM</(B?+",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),6,106 - 115 points,0.3928840595121071,State school leaver,Not a scholarship student,Other students,Other students,02:01,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-1.3903673055650738
"A""(+-HR=]!54.TPM</(B?+",0.1019396225747327,0.0,BSc Psychology FT,Individual Differences,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.4192863562200545,A-levels (CDD or higher),6,106 - 115 points,0.3928840595121071,State school leaver,Not a scholarship student,Other students,Other students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.40948574956678857
A(0I+()S.7]V&QB-K^DIV-,0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not a care leaver,Quintile 1,Commuter,3-6 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,ICN,In-Class Test/Assignment non exam conditions,-1.668563630131922,-0.20816990425703272,-0.20294373961704976,-1.7136062215887549
A(0I+()S.7]V&QB-K^DIV-,0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not a care leaver,Quintile 1,Commuter,3-6 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.04846566154033944
A(0I+()S.7]V&QB-K^DIV-,0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Bangladeshi or Bangladeshi British,Not disabled,Not a care leaver,Quintile 1,Commuter,3-6 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.008930763597091992,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,2.2282454682817954,EXC,Examination - closed book,-1.032728710479601,-0.20816990425703272,-0.20294373961704976,0.11668166654533699
A(L'>A1S5CO:0ZD%WVE15&,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,2.931237414562083,Female,Other,Any other Mixed or Multiple ethnic background,Not disabled,Not known / not applicable,Quintile 2,Commuter,3-6 miles,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z5,Not in the standard tariff population,-2.4198197022522865,Unknown,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,-1.2570837265553088
A(L'>A1S5CO:0ZD%WVE15&,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,2.931237414562083,Female,Other,Any other Mixed or Multiple ethnic background,Not disabled,Not known / not applicable,Quintile 2,Commuter,3-6 miles,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z5,Not in the standard tariff population,-2.4198197022522865,Unknown,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,-0.8771730525274756
"A]J(F2Z'OJOPSD3""U6HJ5!",0.1019396225747327,0.0,BSc Psychology FT,Social Psychology,0.0,0.0,SEM1,1.032307216579559,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not known / not applicable,Quintile 2,Commuter,3-6 miles,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z9,Not known or zero tariff points,-2.4198197022522865,Unknown,Not a scholarship student,Other students,Other students,02:01,-0.9841894013026808,SSY,Essay,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.4227495114941834
"A]J(F2Z'OJOPSD3""U6HJ5!",0.1019396225747327,0.0,BSc Psychology FT,Social Psychology,0.0,0.0,SEM1,1.032307216579559,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not known / not applicable,Quintile 2,Commuter,3-6 miles,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z9,Not known or zero tariff points,-2.4198197022522865,Unknown,Not a scholarship student,Other students,Other students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,1.2112861776255308
"A*I%<ICK>X[D,8[:.,,SP,",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.003127774153192253,"A-levels (DDD or lower), other level 3 qualification (105 tariff points or higher) or two A-levels and one BTEC",2,41 - 65 points,-0.8125604098154902,State school leaver,Not a scholarship student,Other students,Other students,02:02,-0.9841894013026808,ICN,In-Class Test/Assignment non exam conditions,-1.668563630131922,-0.20816990425703272,-0.20294373961704976,-0.8246992025236312
"A*I%<ICK>X[D,8[:.,,SP,",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.003127774153192253,"A-levels (DDD or lower), other level 3 qualification (105 tariff points or higher) or two A-levels and one BTEC",2,41 - 65 points,-0.8125604098154902,State school leaver,Not a scholarship student,Other students,Other students,02:02,0.6220280334895573,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-1.9507880236061321
"A*I%<ICK>X[D,8[:.,,SP,",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not a care leaver,Quintile 2,Commuter,6-10 miles,-0.003127774153192253,"A-levels (DDD or lower), other level 3 qualification (105 tariff points or higher) or two A-levels and one BTEC",2,41 - 65 points,-0.8125604098154902,State school leaver,Not a scholarship student,Other students,Other students,02:02,2.2282454682817954,EXC,Examination - closed book,-1.032728710479601,-0.20816990425703272,-0.20294373961704976,1.3372234176347577
A/]CCA)VI&::T7V`Z6K4S!,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.052795753696169075,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 3,Other inc. Private Halls,1-3 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,7,116+ points,2.150823910614853,State school leaver,Not a scholarship student,Other students,Other students,1st,-0.9841894013026808,CWK,Coursework,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,-0.01660191246442808
A/]CCA)VI&::T7V`Z6K4S!,0.1019396225747327,0.0,BSc Psychology FT,Cognitive Psychology,0.0,0.0,SEM1,-0.052795753696169075,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 3,Other inc. Private Halls,1-3 miles,-0.8354449382869168,A-levels (BCC or higher) or international baccalaureate,7,116+ points,2.150823910614853,State school leaver,Not a scholarship student,Other students,Other students,1st,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,0.9950939156096917
A/$7*BJ@#<%D:5W99S?4C(,0.1019396225747327,0.0,BSc Psychology FT,Social Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,SSY,Essay,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.3492861214888009
A/$7*BJ@#<%D:5W99S?4C(,0.1019396225747327,0.0,BSc Psychology FT,Social Psychology,0.0,0.0,SEM1,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,-0.7827201225205558
A/3[MK$ER+U)1%TFOM4)5),0.1019396225747327,0.0,BSc Psychology and Counselling FT,Individual Differences,0.0,0.0,SEM1,0.489755731441695,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Cognitive/learning difficulties,Not a care leaver,Quintile 5,Unknown,Not known,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",5,91 - 105 points,-0.059157616485741873,Other school leaver,Not a scholarship student,Other students,Other students,1st,-0.9841894013026808,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.7558131595921612
A/3[MK$ER+U)1%TFOM4)5),0.1019396225747327,0.0,BSc Psychology and Counselling FT,Individual Differences,0.0,0.0,SEM1,0.489755731441695,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Cognitive/learning difficulties,Not a care leaver,Quintile 5,Unknown,Not known,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",5,91 - 105 points,-0.059157616485741873,Other school leaver,Not a scholarship student,Other students,Other students,1st,0.6220280334895573,EXC,Examination - closed book,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,0.43257424356848
A\[JPF0-BF2W2H0.M78<F$,0.1019396225747327,0.0,BSc Psychology and Counselling FT,Developmental Psychology,0.0,0.0,SEM2,4.016340384837811,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not known / not applicable,Unknown / non-UK,Other inc. Private Halls,<1 mile,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z5,Not in the standard tariff population,-2.4198197022522865,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,SSY,Essay,-0.39689379082727955,-0.20816990425703272,-0.20294373961704976,-1.1678781815487738
A\[JPF0-BF2W2H0.M78<F$,0.1019396225747327,0.0,BSc Psychology and Counselling FT,Developmental Psychology,0.0,0.0,SEM2,4.016340384837811,Female,White,"White - English, Scottish, Welsh, Northern Irish or British",Not disabled,Not known / not applicable,Unknown / non-UK,Other inc. Private Halls,<1 mile,2.077665136181119,"Access or foundation courses, or other level 3 qualification (66 tariff points or higher)",Z5,Not in the standard tariff population,-2.4198197022522865,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,EXC,Examination - closed book,0.8747760484773625,-0.20816990425703272,-0.20294373961704976,-1.2833206515572309
"A\E""U`E/!F;T0""QOPO(>**",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,-0.9841894013026808,ICN,In-Class Test/Assignment non exam conditions,-1.668563630131922,-0.20816990425703272,-0.20294373961704976,0.13452277554664427
"A\E""U`E/!F;T0""QOPO(>**",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,0.6220280334895573,CWK,Coursework,0.23894112882504143,-0.20816990425703272,-0.20294373961704976,1.5187829386480596
"A\E""U`E/!F;T0""QOPO(>**",0.1019396225747327,0.0,BSc Psychology FT,Introduction to Psychological Research Methods,0.0,0.0,SEM2,-0.32407149626510107,Female,Asian,Asian - Pakistani or Pakistani British,Not disabled,Not a care leaver,Quintile 2,Commuter,10-15 miles,-0.4192863562200545,A-levels (CDD or higher),5,91 - 105 points,-0.10938446937439175,State school leaver,Not a scholarship student,Other low income students,Other low income students,02:01,2.2282454682817954,EXC,Examination - closed book,-1.032728710479601,-0.20816990425703272,-0.20294373961704976,0.9730548986080778
